split,sample_name,source_path,source_dataset,scenario,category,map_id,difficulty_raw,difficulty,ood_family,split_hint
train,sample_000000.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000000.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000001.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000000.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000002.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000001.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000003.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000002.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000004.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000002.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000005.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000003.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000006.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000004.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000007.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000004.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000008.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000005.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000009.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000005.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000010.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000006.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000011.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000006.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000012.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000007.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000013.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000008.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000014.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000008.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000015.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000009.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000016.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000009.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000017.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000010.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000018.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000011.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000019.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000012.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000020.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000012.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000021.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000013.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000022.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000013.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000023.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000014.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000024.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000014.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000025.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000015.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000026.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000015.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000027.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000016.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000028.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000017.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000029.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000018.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000030.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000018.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000031.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000019.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000032.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000019.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000033.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000020.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000034.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000021.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000035.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000021.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000036.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000023.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000037.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000024.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000038.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000025.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000039.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000026.npz,csm,csm_city_street,U,packed_000,simple,easy,1,csm:train
train,sample_000040.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000026.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000041.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000028.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000042.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000028.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000043.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000029.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000044.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000029.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000045.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000030.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000046.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000031.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000047.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000031.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000048.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/test/sample_000032.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:test
train,sample_000049.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000033.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
train,sample_000050.npz,/home/zzy/TrajectoryPlanning/distill/data/benchmark/csm/train/sample_000034.npz,csm,csm_city_street,U,packed_000,medium,medium,1,csm:train
