claim_id,claim_text,metric_name,metric_value,target,passed,evidence_paths
C01,P12 双平台回合数达到 500+,episodes_per_platform_ge_500,True,True,True,outputs/router_phase12_realworld_v1/stats.json
C02,P12 安全与尾延迟门槛达标,success/collision/p95/p99 gates,"{'success': True, 'collision': True, 'p95': True, 'p99': True}",all True,True,outputs/router_phase12_realworld_v1/stats.json;reports/router_phase12_realworld_v1.md
C03,P13 外部强基线数量 >= 6,external_strong_baselines,7,>=6,True,outputs/router_phase13_sota_v1/stats.json;paper/tables_router_v3/table_phase13_external_sota_summary.csv
C04,P13 相对最强基线 J 改善 >= 3%,j_improve_vs_strongest_baseline_mean,5.710%,>=3%,True,outputs/router_phase13_sota_v1/stats.json
C05,"P13 pooled 显著性达标 (p<0.01, CI 不跨 0)",pooled_p/ci,"{'p': 0.0, 'ci95': [0.04395226184856901, 0.07064381485170529]}",p<0.01 and ci_low>0,True,outputs/router_phase13_sota_v1/stats.json
C06,P13 风险不劣（ΔV <= 0.5pct）,risk_delta_vs_strongest_mean_pct,-0.578,<=0.5,True,outputs/router_phase13_sota_v1/stats.json
C07,P14 扰动类型与样本规模达标,stress_type_count_ge_10 + cases_per_type_ge_100,"{'types': True, 'cases': True}",both True,True,outputs/router_phase14_stress_v1/stats.json;outputs/router_phase14_stress_v1/stress_profile_summary.csv
C08,P14 Worst-10% 成功率与恢复率达标,worst10_success + recovery_success,"{'worst10': 0.9666666666666667, 'recovery': 0.9794450154162384}",>=0.92 and >=0.95,True,outputs/router_phase14_stress_v1/stats.json
C09,P14 灾难性碰撞为 0,catastrophic_collision_count,0,0,True,outputs/router_phase14_stress_v1/stats.json
C10,Exp3/Exp4 漂移不退化（<=0.5%）,exp3_exp4_drift_abs_le_0_5pct,True,True,True,outputs/router_phase12_realworld_v1/stats.json
C11,理论闭环 gap <= 2%,theory_bound_gap_le_2pct,True,True,True,outputs/router_phase11_theory_v1/stats.json
